set,path,label,x_min,y_min,x_max,y_max
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-0.jpg,klikun,0.359375,0.2565104166666667,0.900390625,0.8684895833333334
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-1.jpg,klikun,0.058,0.12465373961218837,0.998,0.9473684210526315
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-2.jpg,klikun,0.286,0.16216216216216217,0.792,0.7657657657657657
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-4.jpg,klikun,0.1575,0.16,0.799375,0.7683333333333333
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-5.jpg,klikun,0.26422250316055623,0.17743979721166034,0.6624525916561315,0.9987325728770595
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-6.jpg,klikun,0.60791015625,0.03994190268700073,0.7919921875,0.5098039215686274
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-6.jpg,klikun,0.15771484375,0.28830791575889614,0.7265625,0.944081336238199
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-7.jpg,klikun,0.16597222222222222,0.11851851851851852,0.9993055555555556,0.8027777777777778
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-9.jpg,klikun,0.1675,0.11,0.7725,0.55
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-10.jpg,klikun,0.291,0.0755,0.9995,0.9995
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-12.jpg,klikun,0.09,0.195,0.64375,0.69
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-13.jpg,klikun,0.0,0.28335832083958024,0.793,0.9985007496251874
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-15.jpg,klikun,0.08125,0.20318021201413428,0.92875,0.9558303886925795
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-16.jpg,klikun,0.3783614759224515,0.16322701688555347,0.6466541588492808,0.899624765478424
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-17.jpg,klikun,0.506,0.0,0.999,0.6291390728476821
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-17.jpg,klikun,0.328,0.5298013245033113,0.999,0.7770419426048565
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-17.jpg,klikun,0.0,0.16445916114790288,0.326,0.5960264900662252
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-18.jpg,klikun,0.16433566433566432,0.22033898305084745,0.6818181818181818,0.9364406779661016
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-19.jpg,klikun,0.18937644341801385,0.088,0.8937644341801386,0.998
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-20.jpg,klikun,0.4875,0.6063730084348641,0.52375,0.6738519212746017
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-20.jpg,klikun,0.43375,0.6157450796626054,0.46875,0.6757263355201499
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-20.jpg,klikun,0.195625,0.1527647610121837,0.693125,0.7713214620431116
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-21.jpg,klikun,0.140625,0.115625,0.925,0.84375
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-22.jpg,klikun,0.099,0.25487256371814093,0.898,0.9265367316341829
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-23.jpg,klikun,0.3288888888888889,0.16777777777777778,0.7233333333333334,0.8288888888888889
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-24.jpg,klikun,0.2685546875,0.16422287390029325,0.576171875,0.718475073313783
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-26.jpg,klikun,0.0,0.23931623931623933,0.94921875,0.8671328671328671
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-28.jpg,klikun,0.05,0.4716666666666667,0.22875,0.78
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-28.jpg,klikun,0.3,0.6066666666666667,0.415,0.7916666666666666
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-28.jpg,klikun,0.56125,0.53,0.65,0.81
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-28.jpg,klikun,0.575,0.5766666666666667,0.75625,0.8633333333333333
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-28.jpg,klikun,0.76375,0.5766666666666667,0.84125,0.7816666666666666
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-29.jpg,klikun,0.048,0.19333333333333333,0.93,0.7755555555555556
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-30.jpg,klikun,0.25,0.1920374707259953,0.5828125,0.7142857142857143
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-31.jpg,klikun,0.3717447916666667,0.1806640625,0.9713541666666666,0.6484375
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-32.jpg,klikun,0.3486005089058524,0.26423109600679695,0.648854961832061,0.675446049277825
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-34.jpg,klikun,0.32471264367816094,0.2793522267206478,0.632183908045977,0.7611336032388664
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-35.jpg,klikun,0.0,0.16216216216216217,0.72216796875,0.999412455934195
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-36.jpg,klikun,0.11,0.10828025477707007,0.545,0.7866242038216561
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-36.jpg,klikun,0.4425,0.23885350318471338,0.855,0.7579617834394905
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-36.jpg,klikun,0.515,0.5318471337579618,0.9075,0.7738853503184714
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-38.jpg,klikun,0.05830388692579505,0.135,0.941696113074205,0.99875
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-39.jpg,klikun,0.0,0.35157421289355323,0.7066666666666667,0.7728635682158921
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-39.jpg,klikun,0.3413333333333333,0.41529235382308843,0.748,0.7638680659670165
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-40.jpg,klikun,0.2936197916666667,0.326171875,0.9069010416666666,0.86328125
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-42.jpg,klikun,0.25,0.41333333333333333,0.53125,0.8366666666666667
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-43.jpg,klikun,0.0575,0.235,0.975,0.6966666666666667
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-44.jpg,klikun,0.0,0.06770833333333333,0.8271484375,0.8645833333333334
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-45.jpg,klikun,0.0725,0.11069418386491557,0.766875,0.9568480300187617
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-46.jpg,klikun,0.298828125,0.3424479166666667,0.638671875,0.6067708333333334
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-48.jpg,klikun,0.198,0.09502262443438914,0.896,0.9049773755656109
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-49.jpg,klikun,0.35625,0.25359712230215825,0.7525,0.9982014388489209
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-50.jpg,klikun,0.195,0.2113676731793961,0.8025,0.7211367673179396
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-52.jpg,klikun,0.07375,0.39222042139384117,0.51375,0.779578606158833
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-53.jpg,klikun,0.2675,0.5796661608497724,0.47875,0.8012139605462822
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-53.jpg,klikun,0.29,0.5477996965098634,0.4525,0.7420333839150227
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-54.jpg,klikun,0.1228813559322034,0.128,0.9491525423728814,0.998
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-55.jpg,klikun,0.64625,0.0928030303030303,0.924375,0.8134469696969697
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-55.jpg,klikun,0.47,0.6221590909090909,0.62625,0.8020833333333334
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-55.jpg,klikun,0.393125,0.6666666666666666,0.544375,0.7755681818181818
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-55.jpg,klikun,0.295625,0.6117424242424242,0.374375,0.7755681818181818
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-55.jpg,klikun,0.093125,0.6903409090909091,0.309375,0.8285984848484849
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-57.jpg,klikun,0.248,0.12139917695473251,0.872,0.6646090534979424
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-59.jpg,klikun,0.0,0.0,0.999375,0.99906191369606
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-60.jpg,klikun,0.12875,0.34833333333333333,0.84125,0.6366666666666667
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-61.jpg,klikun,0.6916890080428955,0.25125,0.9986595174262735,0.805
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-61.jpg,klikun,0.33378016085790885,0.24875,0.6568364611260054,0.78375
train,/Users/samedi/Documents/Coding/swans/data/train/initial-klikun-61.jpg,klikun,0.5053619302949062,0.2925,0.6836461126005362,0.83375
